simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
651,onc_0651,1873,1063,686.5,heated
652,onc_0652,2353,1417,1190,heated
653,onc_0653,2020,1151,768,heated
654,onc_0654,2873,1123,1071,unheated
655,onc_0655,1694,1311,955,heated
656,onc_0656,1309,1485,1078,heated
657,onc_0657,2006,1159,824.5,heated
658,onc_0658,2882,915.5,653.5,heated
659,onc_0659,1261,1481,1039,heated
660,onc_0660,1917,1059,708,heated
661,onc_0661,1617,1491,1056,heated
662,onc_0662,2584,933,644,heated
663,onc_0663,1636,1165,802,heated
664,onc_0664,1923,1143,800.5,heated
665,onc_0665,2040,1452,925,heated
666,onc_0666,3510,1049,816,heated
667,onc_0667,1700,1148,808.5,heated
668,onc_0668,3402,1082,756,heated
669,onc_0669,1807,1474,1023.5,heated
670,onc_0670,2073,1052,741.5,heated
671,onc_0671,2766,1250,1007.5,heated
672,onc_0672,2332,1356,1146,heated
673,onc_0673,1287,1233,926.5,heated
674,onc_0674,2578,1278,898,heated
675,onc_0675,1891,1416,971.5,heated
676,onc_0676,2055,1025,671.5,heated
677,onc_0677,2013,1073,758,heated
678,onc_0678,2235,1094,833.5,heated
679,onc_0679,2001,1151,798.5,heated
680,onc_0680,1876,1296,1231,unheated
681,onc_0681,1804,1161,941.5,heated
682,onc_0682,2673,1214,1068,heated
683,onc_0683,3338,1102,811,heated
684,onc_0684,1939,1040,739.5,heated
685,onc_0685,2801,910.5,632.5,heated
