simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
120,onc_0120,3883,982,604,heated
121,onc_0121,4169,924,612.5,heated
122,onc_0122,2880,1227,805,heated
123,onc_0123,2470,1245,1188,unheated
124,onc_0124,2528,1328,856,heated
125,onc_0125,3547,1043,676,heated
126,onc_0126,3739,988,657,heated
127,onc_0127,3766,1029,690,heated
128,onc_0128,3734,985.5,651,heated
129,onc_0129,2158,1463,941.5,heated
130,onc_0130,3559,1016.5,880.5,heated
131,onc_0131,2813,1210,725,heated
132,onc_0132,2058,1417,1404,unheated
133,onc_0133,2519,1352,909,heated
134,onc_0134,3105,1136,697.5,heated
135,onc_0135,4481,898.5,891.5,unheated
136,onc_0136,2248,1365,1232,heated
137,onc_0137,2105,1493,1129,heated
138,onc_0138,3447,1010.5,812.5,heated
139,onc_0139,2021,1495,1201,heated
140,onc_0140,3641,1012.5,670.5,heated
141,onc_0141,2238,1428,803,heated
142,onc_0142,3191,1106,829,heated
143,onc_0143,2317,1405,899.5,heated
144,onc_0144,3689,1039,634,heated
145,onc_0145,2537,1309,794.5,heated
146,onc_0146,2200,1389,1187,heated
147,onc_0147,4928,876,661,heated
148,onc_0148,2568,1360,1197,heated
149,onc_0149,4172,936.5,582.5,heated
150,onc_0150,3399,1089,693.5,heated
151,onc_0151,2293,1347,1330,unheated
152,onc_0152,3647,1043,624.5,heated
153,onc_0153,4298,923.5,601.5,heated
154,onc_0154,3149,1135,714.5,heated
155,onc_0155,3634,1005.5,984.5,unheated
156,onc_0156,2273,1416,827,heated
157,onc_0157,2180,1448,883.5,heated
158,onc_0158,3886,998,672.5,heated
159,onc_0159,4618,879,813.5,unheated
160,onc_0160,2201,1360,1321,unheated
161,onc_0161,2763,1259,765.5,heated
162,onc_0162,4730,892.5,819,unheated
163,onc_0163,3799,977,864.5,heated
164,onc_0164,2486,1316,762.5,heated
165,onc_0165,2840,1215,723.5,heated
166,onc_0166,3435,1027,848,heated
167,onc_0167,2656,1285,830.5,heated
168,onc_0168,3826,997,637.5,heated
169,onc_0169,2523,1337,889,heated
170,onc_0170,3069,1147,705,heated
171,onc_0171,2175,1443,1115,heated
172,onc_0172,3810,984.5,759,heated
173,onc_0173,3171,1151,751,heated
174,onc_0174,2611,1283,908,heated
175,onc_0175,3802,978.5,656,heated
176,onc_0176,3630,977,799,heated
177,onc_0177,2869,1239,727.5,heated
178,onc_0178,4473,896.5,779,heated
179,onc_0179,2085,1489,828,heated
180,onc_0180,3002,1178,731,heated
181,onc_0181,2235,1479,1328,heated
182,onc_0182,2153,1463,872,heated
183,onc_0183,2551,1304,792.5,heated
184,onc_0184,1891,1498,1439,unheated
185,onc_0185,2294,1422,950,heated
186,onc_0186,2183,1384,1197,heated
187,onc_0187,3257,1116,750.5,heated
188,onc_0188,2761,1260,828.5,heated
189,onc_0189,3353,1110,765,heated
190,onc_0190,1935,1470,1461,unheated
191,onc_0191,4445,910,570,heated
192,onc_0192,2389,1375,866.5,heated
193,onc_0193,3833,985.5,631.5,heated
194,onc_0194,2213,1475,944.5,heated
195,onc_0195,2324,1385,793,heated
196,onc_0196,3212,1094,835.5,heated
197,onc_0197,2722,1263,835,heated
198,onc_0198,4487,886.5,588.5,heated
199,onc_0199,1897,1490,1255,heated
200,onc_0200,3898,952.5,844,heated
201,onc_0201,3952,992.5,721,heated
202,onc_0202,3854,1018.5,673.5,heated
203,onc_0203,2169,1494,894,heated
204,onc_0204,3886,982,628.5,heated
205,onc_0205,2557,1288,763.5,heated
206,onc_0206,2813,1210,717.5,heated
207,onc_0207,2419,1362,814,heated
208,onc_0208,2857,1219,877,heated
209,onc_0209,2075,1493,849.5,heated
210,onc_0210,2267,1415,822,heated
211,onc_0211,3605,1089,646.5,heated
212,onc_0212,2671,1252,749,heated
213,onc_0213,4422,888,761,heated
214,onc_0214,2924,1148,1012,heated
215,onc_0215,2456,1361,887.5,heated
216,onc_0216,3902,961,833.5,heated
217,onc_0217,2373,1382,847.5,heated
218,onc_0218,2916,1154,916,heated
219,onc_0219,3230,1133,750,heated
220,onc_0220,4568,879.5,683.5,heated
221,onc_0221,3061,1157,691.5,heated
222,onc_0222,3351,1108,764.5,heated
223,onc_0223,2608,1303,863.5,heated
224,onc_0224,2460,1285,745,heated
225,onc_0225,3026,1193,735.5,heated
226,onc_0226,2248,1471,862.5,heated
227,onc_0227,3746,981,875,heated
228,onc_0228,3729,1057,655,heated
229,onc_0229,2671,1275,814.5,heated
230,onc_0230,2774,1237,745.5,heated
231,onc_0231,3467,1105,750,heated
232,onc_0232,2247,1427,863,heated
233,onc_0233,2490,1345,879,heated
234,onc_0234,2085,1488,832.5,heated
235,onc_0235,2931,1189,708,heated
236,onc_0236,2531,1303,756.5,heated
237,onc_0237,2359,1327,751,heated
238,onc_0238,2627,1258,997.5,heated
239,onc_0239,2551,1339,1045,heated
240,onc_0240,1995,1496,1017,heated
241,onc_0241,2301,1308,1307,unheated
242,onc_0242,2404,1274,1192,unheated
243,onc_0243,3688,1041,640.5,heated
244,onc_0244,2419,1366,870,heated
245,onc_0245,2708,1247,752.5,heated
246,onc_0246,4483,946,664.5,heated
247,onc_0247,3190,1082,1065,unheated
248,onc_0248,3743,1035,710,heated
249,onc_0249,4102,955.5,873,unheated
250,onc_0250,2863,1254,1063,heated
251,onc_0251,3503,1036,789,heated
252,onc_0252,4298,913,627,heated
253,onc_0253,3361,1090,654,heated
254,onc_0254,3072,1135,848.5,heated
255,onc_0255,2975,1163,680.5,heated
256,onc_0256,2322,1405,876.5,heated
257,onc_0257,2718,1213,1106,heated
258,onc_0258,3121,1162,790.5,heated
259,onc_0259,4401,904.5,580,heated
260,onc_0260,3813,1000.5,616,heated
261,onc_0261,4479,889,830.5,unheated
262,onc_0262,2404,1387,941.5,heated
263,onc_0263,2796,1234,766.5,heated
264,onc_0264,2311,1369,969,heated
265,onc_0265,3848,987.5,609,heated
266,onc_0266,2387,1375,879.5,heated
267,onc_0267,2316,1424,940,heated
268,onc_0268,4231,922,594,heated
269,onc_0269,3208,1167,700.5,heated
270,onc_0270,2463,1318,770.5,heated
271,onc_0271,2648,1280,793,heated
272,onc_0272,2501,1296,916,heated
273,onc_0273,3572,1047,669,heated
274,onc_0274,2484,1281,738,heated
275,onc_0275,2652,1292,815,heated
276,onc_0276,1916,1484,1300,heated
277,onc_0277,3560,1055,637.5,heated
278,onc_0278,2270,1391,1010.5,heated
279,onc_0279,4640,879.5,612.5,heated
280,onc_0280,2206,1437,823.5,heated
281,onc_0281,2189,1370,1338,unheated
282,onc_0282,2840,1247,1086,heated
283,onc_0283,3053,1196,803.5,heated
284,onc_0284,2748,1252,776.5,heated
285,onc_0285,3014,1178,734,heated
286,onc_0286,3692,1032,731,heated
287,onc_0287,2872,1174,929,heated
288,onc_0288,3597,1009.5,981,unheated
289,onc_0289,2260,1455,974.5,heated
290,onc_0290,2975,1181,727,heated
291,onc_0291,2205,1440,853,heated
292,onc_0292,2399,1271,1213,unheated
293,onc_0293,3142,1158,805,heated
294,onc_0294,2155,1462,875.5,heated
