simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
444,onc_0444,1801,1414,1262,heated
445,onc_0445,2337,1236,1015.5,heated
446,onc_0446,2428,1064,867,heated
447,onc_0447,1924,1359,1085,heated
448,onc_0448,3011,995,826.5,heated
449,onc_0449,2191,1127,952,heated
450,onc_0450,2093,1228,1001.5,heated
451,onc_0451,3189,961,795.5,heated
452,onc_0452,1723,1453,1152,heated
453,onc_0453,2355,1221,985.5,heated
454,onc_0454,2940,1029,883.5,heated
455,onc_0455,2126,1159,974,heated
456,onc_0456,2758,1021.5,832,heated
457,onc_0457,1948,1246,998.5,heated
458,onc_0458,2990,1086,896,heated
459,onc_0459,2012,1218,1008.5,heated
460,onc_0460,1837,1326,1213,heated
461,onc_0461,2028,1342,1217,heated
462,onc_0462,3528,914,901.5,unheated
463,onc_0463,1723,1474,1187,heated
464,onc_0464,1803,1465,1165,heated
465,onc_0465,1896,1315,1066,heated
466,onc_0466,2605,1088,880.5,heated
467,onc_0467,2846,974.5,804.5,heated
468,onc_0468,2011,1287,1035,heated
469,onc_0469,4048,877,768,heated
470,onc_0470,2417,1069,875.5,heated
471,onc_0471,3055,947.5,782,heated
472,onc_0472,3162,975.5,886.5,unheated
473,onc_0473,1786,1386,1127,heated
474,onc_0474,1974,1374,1264,heated
475,onc_0475,2054,1245,1007.5,heated
476,onc_0476,2411,1058,858.5,heated
477,onc_0477,3424,904,862,unheated
478,onc_0478,2666,1097,888,heated
479,onc_0479,3039,1003.5,932,unheated
480,onc_0480,1941,1388,1155,heated
481,onc_0481,2410,1205,1177,unheated
482,onc_0482,1819,1320,1248,unheated
483,onc_0483,2345,1095,900,heated
484,onc_0484,3599,939,795.5,heated
485,onc_0485,3299,971,796,heated
486,onc_0486,2191,1187,964,heated
487,onc_0487,1957,1267,1053,heated
488,onc_0488,2970,964.5,791,heated
489,onc_0489,1960,1401,1149,heated
490,onc_0490,3780,876.5,722.5,heated
491,onc_0491,1682,1465,1216,heated
492,onc_0492,1861,1303,1185,heated
